Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
gor >conj (ali <cc dol)	gor	ali	dol																											1	3.7	ABC	"pattern {A [form=""gor""]; C [form=""dol""]; B [form=""ali""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22gor%22%5D%3B%20C%20%5Bform%3D%22dol%22%5D%3B%20B%20%5Bform%3D%22ali%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	gor	20.18	20.18	0.00	5.94	1.00	10.15
gor >conj (in <cc dol)	gor	in	dol																											1	3.7	ABC	"pattern {A [form=""gor""]; C [form=""dol""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22gor%22%5D%3B%20C%20%5Bform%3D%22dol%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	gor	17.26	17.26	0.00	3.05	1.00	8.39
gostobesedno >obl (kot <case prodajalci >nmod (od <case vrat) >nmod (do <case vrat))	gostobesedno	kot	prodajalci	od	vrat	do	vrat																							1	3.7	ABCDEFG	"pattern {A [form=""gostobesedno""]; C [form=""prodajalci""]; B [form=""kot""]; E [form=""vrat""]; D [form=""od""]; G [form=""vrat""]; F [form=""do""]; A -[obl]-> C; C -[case]-> B; C -[nmod]-> E; E -[case]-> D; C -[nmod]-> G; G -[case]-> F; A << C; C >> B; C << E; E >> D; C << G; G >> F} without {A -> X0} without {C -> X1} without {B -> X2} without {E -> X3} without {D -> X4} without {G -> X5} without {F -> X6}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22gostobesedno%22%5D%3B%20C%20%5Bform%3D%22prodajalci%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20E%20%5Bform%3D%22vrat%22%5D%3B%20D%20%5Bform%3D%22od%22%5D%3B%20G%20%5Bform%3D%22vrat%22%5D%3B%20F%20%5Bform%3D%22do%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20C%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20D%3B%20C%20-%5Bnmod%5D-%3E%20G%3B%20G%20-%5Bcase%5D-%3E%20F%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20E%3B%20E%20%3E%3E%20D%3B%20C%20%3C%3C%20G%3B%20G%20%3E%3E%20F%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BG%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D	7	gostobesedno	70.26	70.26	0.00	5.53	1.00	40.30
hitreje >advcl (kot <mark mačka >orphan miš)	hitreje	kot	mačka	miš																										1	3.7	ABCD	"pattern {A [form=""hitreje""]; C [form=""mačka""]; B [form=""kot""]; D [form=""miš""]; A -[advcl]-> C; C -[mark]-> B; C -[orphan]-> D; A << C; C >> B; C << D} without {A -> X0} without {C -> X1} without {B -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22hitreje%22%5D%3B%20C%20%5Bform%3D%22ma%C4%8Dka%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20D%20%5Bform%3D%22mi%C5%A1%22%5D%3B%20A%20-%5Badvcl%5D-%3E%20C%3B%20C%20-%5Bmark%5D-%3E%20B%3B%20C%20-%5Borphan%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	hitreje	38.09	38.09	0.00	5.90	1.00	20.93
hitreje >conj (in <cc radikalneje) >obl (kot <case (jezikovne >conj (ali <cc komunikacijske)) <amod regulative >nmod (javne <amod komunikacije))	hitreje	in	radikalneje	kot	jezikovne	ali	komunikacijske	regulative	javne	komunikacije																				1	3.7	ABCDEFGHIJ	"pattern {A [form=""hitreje""]; C [form=""radikalneje""]; B [form=""in""]; H [form=""regulative""]; D [form=""kot""]; E [form=""jezikovne""]; G [form=""komunikacijske""]; F [form=""ali""]; J [form=""komunikacije""]; I [form=""javne""]; A -[conj]-> C; C -[cc]-> B; A -[obl]-> H; H -[case]-> D; H -[amod]-> E; E -[conj]-> G; G -[cc]-> F; H -[nmod]-> J; J -[amod]-> I; A << C; C >> B; A << H; H >> D; H >> E; E << G; G >> F; H << J; J >> I} without {A -> X0} without {C -> X1} without {B -> X2} without {H -> X3} without {D -> X4} without {E -> X5} without {G -> X6} without {F -> X7} without {J -> X8} without {I -> X9}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22hitreje%22%5D%3B%20C%20%5Bform%3D%22radikalneje%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20H%20%5Bform%3D%22regulative%22%5D%3B%20D%20%5Bform%3D%22kot%22%5D%3B%20E%20%5Bform%3D%22jezikovne%22%5D%3B%20G%20%5Bform%3D%22komunikacijske%22%5D%3B%20F%20%5Bform%3D%22ali%22%5D%3B%20J%20%5Bform%3D%22komunikacije%22%5D%3B%20I%20%5Bform%3D%22javne%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20-%5Bobl%5D-%3E%20H%3B%20H%20-%5Bcase%5D-%3E%20D%3B%20H%20-%5Bamod%5D-%3E%20E%3B%20E%20-%5Bconj%5D-%3E%20G%3B%20G%20-%5Bcc%5D-%3E%20F%3B%20H%20-%5Bnmod%5D-%3E%20J%3B%20J%20-%5Bamod%5D-%3E%20I%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20A%20%3C%3C%20H%3B%20H%20%3E%3E%20D%3B%20H%20%3E%3E%20E%3B%20E%20%3C%3C%20G%3B%20G%20%3E%3E%20F%3B%20H%20%3C%3C%20J%3B%20J%20%3E%3E%20I%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BH%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BG%20-%3E%20X6%7D%20without%20%7BF%20-%3E%20X7%7D%20without%20%7BJ%20-%3E%20X8%7D%20without%20%7BI%20-%3E%20X9%7D	10	hitreje	112.66	112.66	0.00	4.39	1.00	65.83
hitreje >obl (kot <case višina)	hitreje	kot	višina																											1	3.7	ABC	"pattern {A [form=""hitreje""]; C [form=""višina""]; B [form=""kot""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22hitreje%22%5D%3B%20C%20%5Bform%3D%22vi%C5%A1ina%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	hitreje	20.33	20.33	0.00	5.48	1.00	10.24
hitro >conj (in <cc korenito)	hitro	in	korenito																											1	3.7	ABC	"pattern {A [form=""hitro""]; C [form=""korenito""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22hitro%22%5D%3B%20C%20%5Bform%3D%22korenito%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	hitro	16.33	16.33	0.00	3.04	1.00	7.83
hudo <advmod žal	hudo	žal																												1	3.7	AB	"pattern {B [form=""žal""]; A [form=""hudo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22%C5%BEal%22%5D%3B%20A%20%5Bform%3D%22hudo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	žal	9.63	9.63	0.05	9.79	1.00	3.80
in <cc nazaj	in	nazaj																												1	3.7	AB	"pattern {B [form=""nazaj""]; A [form=""in""]; B -[cc]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nazaj%22%5D%3B%20A%20%5Bform%3D%22in%22%5D%3B%20B%20-%5Bcc%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nazaj	0.25	0.25	0.00	2.46	0.16	-0.17
in <cc zakaj	in	zakaj																												1	3.7	AB	"pattern {B [form=""zakaj""]; A [form=""in""]; B -[cc]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zakaj%22%5D%3B%20A%20%5Bform%3D%22in%22%5D%3B%20B%20-%5Bcc%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zakaj	-0.23	-0.23	0.00	2.46	-0.17	0.21
iskreno <advmod žal	iskreno	žal																												1	3.7	AB	"pattern {B [form=""žal""]; A [form=""iskreno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22%C5%BEal%22%5D%3B%20A%20%5Bform%3D%22iskreno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	žal	11.63	11.63	0.08	10.36	1.00	5.01
izdano >conj prevarano	izdano	prevarano																												1	3.7	AB	"pattern {A [form=""izdano""]; B [form=""prevarano""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22izdano%22%5D%3B%20B%20%5Bform%3D%22prevarano%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	izdano	17.03	17.03	0.67	13.42	1.00	8.25
izjemno <advmod podobno	izjemno	podobno																												1	3.7	AB	"pattern {B [form=""podobno""]; A [form=""izjemno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22podobno%22%5D%3B%20A%20%5Bform%3D%22izjemno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	podobno	7.75	7.75	0.03	8.81	1.00	2.67
izjemno <advmod uspešno	izjemno	uspešno																												1	3.7	AB	"pattern {B [form=""uspešno""]; A [form=""izjemno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22uspe%C5%A1no%22%5D%3B%20A%20%5Bform%3D%22izjemno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	uspešno	8.02	8.02	0.03	8.98	1.00	2.84
izredno <advmod previdno	izredno	previdno																												1	3.7	AB	"pattern {B [form=""previdno""]; A [form=""izredno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22previdno%22%5D%3B%20A%20%5Bform%3D%22izredno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	previdno	11.44	11.44	0.09	10.54	1.00	4.89
izredno <advmod slabo	izredno	slabo																												1	3.7	AB	"pattern {B [form=""slabo""]; A [form=""izredno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22slabo%22%5D%3B%20A%20%5Bform%3D%22izredno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	slabo	9.38	9.38	0.05	9.64	1.00	3.65
jasno >conj (in <cc utemeljeno)	jasno	in	utemeljeno																											1	3.7	ABC	"pattern {A [form=""jasno""]; C [form=""utemeljeno""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22jasno%22%5D%3B%20C%20%5Bform%3D%22utemeljeno%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	jasno	16.08	16.08	0.00	3.04	1.00	7.68
javno >conj (in <cc odkrito)	javno	in	odkrito																											1	3.7	ABC	"pattern {A [form=""javno""]; C [form=""odkrito""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22javno%22%5D%3B%20C%20%5Bform%3D%22odkrito%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	javno	16.56	16.56	0.00	3.05	1.00	7.97
jeseni >nmod (leta >nummod 1961)	jeseni	leta	1961																											1	3.7	ABC	"pattern {A [form=""jeseni""]; B [form=""leta""]; C [form=""1961""]; A -[nmod]-> B; B -[nummod]-> C; A << B; B << C} without {A -> X0} without {B -> X1} without {C -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22jeseni%22%5D%3B%20B%20%5Bform%3D%22leta%22%5D%3B%20C%20%5Bform%3D%221961%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20B%20%3C%3C%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	jeseni	20.72	20.72	0.01	6.97	1.00	10.48
jutri >advmod zvečer	jutri	zvečer																												1	3.7	AB	"pattern {A [form=""jutri""]; B [form=""zvečer""]; A -[advmod]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22jutri%22%5D%3B%20B%20%5Bform%3D%22zve%C4%8Der%22%5D%3B%20A%20-%5Badvmod%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	jutri	10.76	10.76	0.08	10.36	1.00	4.48
kadar >fixed koli	kadar	koli																												1	3.7	AB	"pattern {A [form=""kadar""]; B [form=""koli""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22kadar%22%5D%3B%20B%20%5Bform%3D%22koli%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	kadar	8.76	8.76	0.04	9.36	1.00	3.28
kaj <advmod bistveno	kaj	bistveno																												1	3.7	AB	"pattern {B [form=""bistveno""]; A [form=""kaj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bistveno%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bistveno	5.02	5.02	0.01	6.95	0.97	1.08
kaj <advmod kmalu	kaj	kmalu																												1	3.7	AB	"pattern {B [form=""kmalu""]; A [form=""kaj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22kmalu%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	kmalu	4.94	4.94	0.01	6.94	0.97	1.04
kaj <advmod malo	kaj	malo																												1	3.7	AB	"pattern {B [form=""malo""]; A [form=""kaj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22malo%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	malo	3.65	3.65	0.01	6.67	0.92	0.36
kaj <advmod posebno	kaj	posebno																												1	3.7	AB	"pattern {B [form=""posebno""]; A [form=""kaj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22posebno%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	posebno	4.60	4.60	0.01	6.89	0.96	0.85
kaj <advmod radi	kaj	radi																												1	3.7	AB	"pattern {B [form=""radi""]; A [form=""kaj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22radi%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	radi	5.23	5.23	0.01	6.98	0.97	1.20
kaj <nmod drugače	kaj	drugače																												1	3.7	AB	"pattern {B [form=""drugače""]; A [form=""kaj""]; B -[nmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22druga%C4%8De%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20-%5Bnmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	drugače	5.02	5.02	0.01	6.95	0.97	1.08
kako <advmod dolgo	kako	dolgo																												1	3.7	AB	"pattern {B [form=""dolgo""]; A [form=""kako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dolgo%22%5D%3B%20A%20%5Bform%3D%22kako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dolgo	4.71	4.71	0.01	7.01	0.96	0.91
kako <advmod lepo	kako	lepo																												1	3.7	AB	"pattern {B [form=""lepo""]; A [form=""kako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22lepo%22%5D%3B%20A%20%5Bform%3D%22kako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	lepo	5.07	5.07	0.01	7.08	0.97	1.11
kako <advmod močno	kako	močno																												1	3.7	AB	"pattern {B [form=""močno""]; A [form=""kako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22mo%C4%8Dno%22%5D%3B%20A%20%5Bform%3D%22kako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	močno	4.74	4.74	0.01	7.02	0.96	0.93
kako <advmod radi	kako	radi																												1	3.7	AB	"pattern {B [form=""radi""]; A [form=""kako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22radi%22%5D%3B%20A%20%5Bform%3D%22kako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	radi	5.40	5.40	0.01	7.12	0.98	1.30
kako >conj (in <cc zaradi <case kakšnega <det prepričanja)	kako	in	zaradi	kakšnega	prepričanja																									1	3.7	ABCDE	"pattern {A [form=""kako""]; E [form=""prepričanja""]; B [form=""in""]; C [form=""zaradi""]; D [form=""kakšnega""]; A -[conj]-> E; E -[cc]-> B; E -[case]-> C; E -[det]-> D; A << E; E >> B; E >> C; E >> D} without {A -> X0} without {E -> X1} without {B -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22kako%22%5D%3B%20E%20%5Bform%3D%22prepri%C4%8Danja%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20C%20%5Bform%3D%22zaradi%22%5D%3B%20D%20%5Bform%3D%22kak%C5%A1nega%22%5D%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20B%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Bdet%5D-%3E%20D%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20B%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BE%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	kako	37.89	37.89	0.00	3.67	1.00	20.81
kakor >fixed koli	kakor	koli																												1	3.7	AB	"pattern {A [form=""kakor""]; B [form=""koli""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22kakor%22%5D%3B%20B%20%5Bform%3D%22koli%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	kakor	7.23	7.23	0.02	8.31	0.99	2.36
kakovostno >conj (in <cc hitro)	kakovostno	in	hitro																											1	3.7	ABC	"pattern {A [form=""kakovostno""]; C [form=""hitro""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22kakovostno%22%5D%3B%20C%20%5Bform%3D%22hitro%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	kakovostno	15.33	15.33	0.00	3.04	1.00	7.23
